S10_w,S10_x,S10_y,S10_z,S11_w,S11_x,S11_y,S11_z,S7_w,S7_x,S7_y,S7_z,thumb_pose_position_x,thumb_pose_position_y,thumb_pose_position_z
0.0956,-0.0596,0.8842,0.4532,-0.1945,-0.1665,0.6684,0.6983,-0.2783,0.0731,-0.7631,-0.5786,36.1908215748,95.34625743,-6.0391790628
0.0883,-0.0619,0.8848,0.4531,-0.2039,-0.1793,0.661,0.6994,-0.2802,0.0659,-0.7687,-0.5711,36.1912457148,95.5787024144,-5.2845194368
0.0783,-0.0675,0.8851,0.4535,-0.2143,-0.1968,0.6549,0.6973,-0.2753,0.0527,-0.7722,-0.57,35.7037790974,95.6851075168,-5.0584882042
0.0728,-0.072,0.886,0.452,-0.2192,-0.2105,0.6516,0.695,-0.2685,0.0311,-0.7802,-0.564,31.8653883286,96.3405995852,-3.8809432938
0.0706,-0.0825,0.8841,0.4544,-0.2258,-0.2424,0.6395,0.6937,-0.2562,-0.0454,-0.8147,-0.5181,24.5228670966,96.8675613434,0.544173064
0.066,-0.0853,0.8844,0.454,-0.2315,-0.2592,0.6317,0.6928,-0.2423,-0.0739,-0.8245,-0.5057,25.0515267616,96.5315379934,-0.427419911
0.0629,-0.0882,0.8821,0.4583,-0.2336,-0.2691,0.6253,0.6942,-0.2337,-0.094,-0.8286,-0.4998,20.4346395456,95.9199171014,2.7614326454
0.0572,-0.0919,0.8831,0.4564,-0.2395,-0.2806,0.6221,0.6904,-0.2178,-0.1123,-0.8355,-0.4916,19.3460926602,95.489480615,3.7468657288
0.0555,-0.0939,0.8833,0.4558,-0.239,-0.2835,0.6223,0.6893,-0.2126,-0.1179,-0.8381,-0.4882,18.9972601922,95.4325533622,3.2489717416
0.0543,-0.0965,0.884,0.454,-0.2395,-0.2843,0.6231,0.6881,-0.2102,-0.1187,-0.8399,-0.4859,18.0089103862,95.4530346362,3.5722513768
0.0565,-0.0975,0.8843,0.4528,-0.2394,-0.2762,0.6273,0.6875,-0.2083,-0.1155,-0.8414,-0.4848,17.4250820802,95.5834866894,3.130741789
0.0579,-0.0966,0.8842,0.4533,-0.2405,-0.2666,0.6298,0.6886,-0.2091,-0.1106,-0.84,-0.4881,18.1224612326,95.4499003674,3.5404824296
0.0606,-0.0952,0.8842,0.453,-0.2404,-0.2573,0.6337,0.6886,-0.21,-0.1049,-0.8384,-0.4918,18.791385248,95.8620153426,2.459458145
0.0694,-0.0881,0.8861,0.4495,-0.2327,-0.2227,0.6538,0.6845,-0.2131,-0.0571,-0.8284,-0.5147,22.8840157664,96.5414587896,-0.5771230676
0.0715,-0.0859,0.8868,0.4483,-0.2245,-0.2061,0.6645,0.6822,-0.2204,-0.0115,-0.8175,-0.5319,23.2342664716,96.614963891,0.2217142172
0.0725,-0.0847,0.8874,0.4471,-0.2222,-0.1998,0.6693,0.6801,-0.2262,0.0217,-0.8053,-0.5474,27.5297409168,97.075304298,-3.5690744284
0.0706,-0.0835,0.8894,0.4437,-0.2171,-0.1821,0.6796,0.6765,-0.2349,0.087,-0.778,-0.576,30.3911335148,97.6539434424,-4.5438838844
0.0698,-0.0831,0.8906,0.4415,-0.2198,-0.1777,0.6837,0.6727,-0.2385,0.1026,-0.7735,-0.578,30.0127326956,97.886044074,-3.503392968
