S10_w,S10_x,S10_y,S10_z,S8_w,S8_x,S8_y,S8_z,index_pose_position_x,index_pose_position_y,index_pose_position_z
-0.3605,0.0053,0.8695,0.3373,-0.2658,0.3372,0.7909,0.4358,35.184555201,82.6416566144,53.0284742762
-0.3599,0.0054,0.8692,0.3389,-0.2649,0.341,0.7868,0.4407,34.9179383336,82.684975898,52.8926679098
-0.3603,0.0049,0.8695,0.3375,-0.2713,0.343,0.7893,0.4308,34.9734243636,82.20821462,53.0707666668
-0.3602,0.0041,0.87,0.3364,-0.2982,0.3323,0.8013,0.3981,34.894030616,83.658281817,52.655684708
-0.3599,0.0032,0.8699,0.337,-0.2951,0.3368,0.7931,0.4127,34.722035588,83.337914893,53.272965485
-0.358,0.0037,0.8687,0.3421,-0.296,0.3386,0.7868,0.4225,33.906466046,84.362745568,52.508004964
-0.3576,0.0035,0.8687,0.3426,-0.2946,0.3419,0.783,0.4277,34.2918311172,83.113705956,53.8340384168
-0.3571,0.0024,0.8695,0.3411,-0.2978,0.3372,0.7841,0.4273,34.5658934364,83.3265199042,53.6855807246
-0.3582,0.0017,0.8692,0.3408,-0.3013,0.3287,0.7852,0.4294,34.7182786362,83.3941449238,53.365103726
-0.3586,0.0015,0.869,0.3407,-0.3007,0.3267,0.7857,0.4306,34.4828967638,83.7445862926,52.8258150226
-0.3588,0.0014,0.8693,0.3399,-0.3006,0.3269,0.7858,0.4302,34.608828723,83.7109747318,53.1306995676
-0.3588,0.0021,0.8692,0.3401,-0.2971,0.333,0.7876,0.4246,34.576302773,83.8010546458,53.0612181956
-0.3589,0.003,0.8692,0.34,-0.2977,0.3338,0.7921,0.4151,34.8608471076,83.4340569272,53.1483658052
-0.3593,0.004,0.8689,0.3402,-0.2978,0.3327,0.7959,0.4086,34.8508681758,83.6921226946,52.8274707104
-0.3615,0.0051,0.8682,0.3395,-0.3035,0.3254,0.8115,0.3785,35.0938259148,83.3268394042,53.1323300318
-0.364,0.004,0.868,0.3376,-0.2994,0.3232,0.8104,0.3859,35.528292888,83.2384041144,52.8662058032
-0.367,0.0018,0.8678,0.3347,-0.2886,0.3332,0.793,0.4202,35.3230024744,83.4713207956,52.25975721
-0.3703,0.0028,0.8652,0.3377,-0.2863,0.3574,0.7559,0.4676,35.7589332664,81.7519322736,51.15184763
-0.3739,0.0018,0.8641,0.3366,-0.2872,0.3619,0.7482,0.4759,36.1249268368,80.6739235512,51.4890841608
-0.3726,0.0005,0.8652,0.3353,-0.282,0.366,0.7442,0.4823,35.474707862,80.9457309128,50.6775868776
-0.3712,-0.0004,0.8648,0.3378,-0.2699,0.3728,0.7339,0.4994,35.2129696742,80.5838454004,50.4730615622
-0.3712,-0.0004,0.8648,0.3378,-0.2699,0.3728,0.7339,0.4994,34.358479007,80.3664914918,50.2387173328
-0.3686,-0.0014,0.8664,0.3367,-0.261,0.3769,0.7322,0.5035,34.724187562,80.4913205052,49.9463246976
-0.369,-0.0015,0.8656,0.3382,-0.2548,0.3779,0.7288,0.5108,34.398269396,79.992246436,49.914676778
-0.369,-0.0015,0.8656,0.3382,-0.2548,0.3779,0.7288,0.5108,34.2629435072,80.2900291264,50.0649603008
-0.3705,-0.0054,0.8679,0.3305,-0.2636,0.3693,0.7369,0.5009,34.2508727556,80.2795622568,49.9895944796
-0.3728,-0.0074,0.8682,0.327,-0.2841,0.3509,0.7553,0.4747,33.9790229808,81.7167124008,48.5388067576
-0.3728,-0.0074,0.8682,0.327,-0.2841,0.3509,0.7553,0.4747,33.848492286,83.4271428792,48.1076354096
-0.3782,-0.0134,0.8696,0.3167,-0.3147,0.3247,0.7829,0.4271,34.0570579088,83.0598002976,49.1254835888
-0.379,-0.0158,0.8698,0.3154,-0.3339,0.3189,0.7898,0.4036,33.8710719856,86.1465651456,46.560015512
-0.379,-0.0158,0.8698,0.3154,-0.3339,0.3189,0.7898,0.4036,33.4906868716,86.1799688826,47.1305589472
-0.3784,-0.0145,0.8685,0.3195,-0.34,0.3189,0.7938,0.3904,33.9135601962,85.8737629458,47.891278938
-0.3779,-0.0161,0.8701,0.3158,-0.3364,0.3159,0.7927,0.3981,33.9615904284,86.5715081156,48.209779516
-0.3779,-0.0161,0.8701,0.3158,-0.3364,0.3159,0.7927,0.3981,33.5475732706,85.7284891308,47.5770955152
-0.3775,-0.0153,0.8685,0.3208,-0.3172,0.328,0.7713,0.4436,33.7884107784,85.8199298884,47.6660630352
-0.3764,-0.0134,0.8687,0.3216,-0.285,0.3445,0.7541,0.4809,33.656975308,83.9421883256,48.9266599116
-0.3764,-0.0134,0.8687,0.3216,-0.285,0.3445,0.7541,0.4809,33.5763650516,83.1458815748,48.8526203492
-0.3743,-0.0126,0.8687,0.3239,-0.2583,0.3572,0.7398,0.5082,33.2486411166,83.447161115,48.0917723078
-0.3734,-0.0117,0.8684,0.3258,-0.2434,0.3656,0.7318,0.5209,32.8357333956,82.351655546,48.7100513258
-0.3718,-0.0111,0.8688,0.3266,-0.2306,0.3697,0.7259,0.532,32.97189432,82.547068016,48.0794860276
-0.3736,-0.0131,0.8702,0.3208,-0.2528,0.3627,0.7363,0.512,32.9671512342,82.2320580672,48.4001130858
-0.3764,-0.0148,0.8707,0.3158,-0.2906,0.3396,0.7594,0.4726,33.2376665208,84.2421978076,46.7205254824
-0.3768,-0.0155,0.8709,0.315,-0.3019,0.3336,0.767,0.4572,33.5234700952,85.214950128,46.6103440144
-0.3762,-0.0154,0.8707,0.3159,-0.3192,0.3282,0.7738,0.4375,33.6561350926,84.778465568,47.7033618782
-0.3757,-0.0147,0.8707,0.3168,-0.328,0.3244,0.7799,0.4229,34.106164326,85.52539824,48.067450192
-0.3732,-0.0133,0.8716,0.3174,-0.3375,0.3223,0.7893,0.3988,34.389266726,85.380025797,49.077300382
-0.3708,-0.0103,0.8709,0.3222,-0.3429,0.3209,0.7995,0.3743,34.3865020368,85.1247410932,49.396581702
-0.3686,-0.007,0.8706,0.3256,-0.3577,0.3132,0.8087,0.346,34.8684958456,84.945624684,50.5576569424
-0.3686,-0.007,0.8706,0.3256,-0.3577,0.3132,0.8087,0.346,35.0748554192,84.9733817844,51.100539112
-0.3681,-0.0051,0.8703,0.327,-0.3497,0.3192,0.8042,0.359,34.8484950808,85.0858181728,50.8821953816
-0.3682,-0.0047,0.8697,0.3284,-0.3493,0.3184,0.8044,0.3598,34.9285291156,84.858245576,50.853819138
-0.3682,-0.0047,0.8697,0.3284,-0.3493,0.3184,0.8044,0.3598,34.711071022,85.1313661224,50.553349538
-0.3696,-0.0063,0.87,0.3261,-0.3485,0.3142,0.8053,0.3621,34.809888392,85.1716554754,50.7200832838
-0.3712,-0.0076,0.8692,0.3264,-0.3484,0.3098,0.8091,0.3576,34.410064836,85.1654382078,50.7532835486
-0.3712,-0.0076,0.8692,0.3264,-0.3484,0.3098,0.8091,0.3576,34.420614182,85.6893504124,50.1805673628
-0.376,-0.0103,0.869,0.3212,-0.3463,0.2994,0.8114,0.3632,34.2217597656,85.7965913616,49.9532963772
-0.3798,-0.0118,0.8683,0.3186,-0.3291,0.3113,0.7984,0.3966,33.9827864378,85.903486947,49.013688152
-0.3819,-0.0124,0.8674,0.3186,-0.3297,0.3136,0.7956,0.3997,33.99893497,86.091650691,48.343753811
-0.3853,-0.0123,0.8664,0.3171,-0.3335,0.3229,0.7872,0.4057,33.7558043332,86.0762916772,48.6072031864
-0.3853,-0.0123,0.8664,0.3171,-0.3335,0.3229,0.7872,0.4057,34.5190528926,85.8475503934,48.1613006752
-0.3882,-0.0114,0.865,0.3175,-0.3442,0.3263,0.788,0.3922,34.2506744848,86.4043445968,47.785066544
-0.3869,-0.0127,0.8656,0.3174,-0.3611,0.3171,0.7997,0.3595,34.081897173,86.5098012708,48.223923163
-0.3869,-0.0127,0.8656,0.3174,-0.3611,0.3171,0.7997,0.3595,33.6486060566,86.6152658684,48.2030452098
-0.3856,-0.0127,0.8648,0.3211,-0.3792,0.3065,0.8076,0.3315,33.761874042,86.399417408,49.126699722
-0.3827,-0.0122,0.8654,0.3231,-0.3718,0.3087,0.8065,0.3404,34.066174891,86.6469955252,49.1835118702
-0.3827,-0.0122,0.8654,0.3231,-0.3718,0.3087,0.8065,0.3404,34.0371458274,86.412161174,49.6817178926
-0.3814,-0.0111,0.8652,0.3251,-0.3643,0.3144,0.8043,0.3483,34.739841317,85.3819588658,50.6481650456
-0.3796,-0.0077,0.8645,0.3292,-0.348,0.327,0.7983,0.3668,34.7249618698,85.5166456162,50.3403857628
-0.3801,-0.0078,0.8648,0.3276,-0.3445,0.3305,0.7953,0.3734,35.0513570346,85.442401203,50.98112969
-0.3801,-0.0078,0.8648,0.3276,-0.3445,0.3305,0.7953,0.3734,34.5509260618,85.7056776598,50.2495552074
-0.3814,-0.0072,0.8644,0.3273,-0.3449,0.3254,0.797,0.3739,34.6168540658,85.6598524958,50.5378438446
