S8_w,S8_x,S8_y,S8_z,S9_w,S9_x,S9_y,S9_z,S4_w,S4_x,S4_y,S4_z,S5_w,S5_x,S5_y,S5_z,S5_4_rel_w,S5_4_rel_x,S5_4_rel_y,S5_4_rel_z,middle_pose_orientation_x,middle_pose_orientation_y,middle_pose_orientation_z
0.1886,0.051,0.9424,0.2712,0.359,0.0377,0.8181,0.4475,-0.7156,0.0142,0.6196,0.3217,0.0497,0.0605,0.9768,0.1994,0.63475841,0.146710129,-0.746532206,-0.135083547,36.73018727,50.83326211,44.182674
0.1865,0.0341,0.9402,0.2828,0.3519,0.0272,0.8149,0.4596,-0.717,0.0237,0.6141,0.3287,0.0482,0.0612,0.977,0.1983,0.6321321,0.154361679,-0.745624609,-0.143615538,38.93701734,51.00644645,43.96645819
0.1857,0.0211,0.9391,0.2881,0.3473,0.0164,0.8128,0.4672,-0.7115,0.0288,0.6202,0.3289,0.0462,0.0622,0.9776,0.1957,0.63962898,0.154582261,-0.739078276,-0.144022202,38.93701734,51.00644645,43.96645819
0.1845,0.0015,0.9383,0.2922,0.3436,0.0084,0.8116,0.4722,-0.7055,0.034,0.6266,0.3292,0.0448,0.0629,0.9781,0.193,0.647016914,0.155174755,-0.732347014,-0.144767952,38.93701734,51.00644645,43.96645819
0.184,-0.0084,0.9379,0.2938,0.3368,-0.0047,0.809,0.4815,-0.7036,0.0438,0.6258,0.3337,0.0438,0.0639,0.979,0.1884,0.647016914,0.155174755,-0.732347014,-0.144767952,38.18580674,49.42454344,41.71945166
0.184,-0.0084,0.9379,0.2938,0.3368,-0.0047,0.809,0.4815,-0.7036,0.0438,0.6258,0.3337,0.0438,0.0639,0.979,0.1884,0.647544054,0.161922011,-0.729346086,-0.150074139,38.18580674,49.42454344,41.71945166
0.1834,-0.0194,0.9375,0.2949,0.3342,-0.0102,0.8083,0.4844,-0.7047,0.0491,0.6248,0.3324,0.0432,0.0643,0.9795,0.1856,0.64648122,0.162210187,-0.729598014,-0.153090249,37.99669461,49.705458,40.49972422
0.1832,-0.027,0.937,0.296,0.3336,-0.0128,0.8074,0.4862,-0.703,0.0509,0.6267,0.332,0.0427,0.065,0.9801,0.1827,0.646228666,0.163740292,-0.730026892,-0.150460506,37.99669461,49.705458,40.49972422
0.1842,-0.0327,0.936,0.2978,0.3332,-0.0142,0.8063,0.4883,-0.7004,0.0532,0.6279,0.335,0.0426,0.0651,0.9802,0.1818,0.650071664,0.166371564,-0.725500843,-0.152891663,37.99669461,49.705458,40.49972422
0.1848,-0.0337,0.9355,0.2991,0.3328,-0.0155,0.8061,0.489,-0.7001,0.0534,0.6267,0.3376,0.0429,0.0653,0.9801,0.1822,0.650071664,0.166371564,-0.725500843,-0.152891663,38.6963675,49.01594761,40.44366173
0.1848,-0.0337,0.9355,0.2991,0.3328,-0.0155,0.8061,0.489,-0.7001,0.0534,0.6267,0.3376,0.0429,0.0653,0.9801,0.1822,0.649316931,0.168722062,-0.725508697,-0.153484593,38.6963675,49.01594761,40.44366173
