S10_w,S10_x,S10_y,S10_z,S11_w,S11_x,S11_y,S11_z,S8_w,S8_x,S8_y,S8_z,thumb_pose_position_x,thumb_pose_position_y,thumb_pose_position_z
-0.0653,-0.1023,0.9326,0.3396,-0.2821,-0.1093,0.7726,0.5581,0.2799,0.5777,0.6087,0.4661,33.2397890752,97.914662612,8.0854395136
-0.0643,-0.1025,0.9329,0.339,-0.281,-0.1067,0.7722,0.5596,0.2808,0.5764,0.6099,0.4655,33.1004731216,97.798627328,8.0534202872
-0.0617,-0.1031,0.9332,0.3385,-0.2806,-0.0998,0.7702,0.5639,0.2811,0.5749,0.6113,0.4654,33.9354550502,97.788151283,7.8292745786
-0.0612,-0.1011,0.9336,0.3381,-0.2891,-0.0831,0.7729,0.5585,0.2768,0.5693,0.6241,0.4578,33.8414618756,97.7784015236,7.7312827168
-0.0599,-0.0994,0.9349,0.3353,-0.289,-0.0714,0.7792,0.5514,0.2722,0.569,0.6377,0.4418,37.051143147,97.7837545066,5.094382244
-0.0595,-0.0985,0.9356,0.3334,-0.2909,-0.0645,0.7825,0.5465,0.2742,0.5679,0.6444,0.4323,41.482921389,97.2634537782,0.6808636794
-0.0602,-0.0979,0.9361,0.3323,-0.2957,-0.0576,0.785,0.5411,0.2824,0.5614,0.6461,0.4331,40.7550914406,97.3976319754,0.8993165492
-0.0579,-0.0988,0.937,0.33,-0.3039,-0.0541,0.788,0.5326,0.2912,0.5513,0.6438,0.4434,43.427568224,96.901507694,-2.0887096936
-0.0582,-0.0994,0.9372,0.3289,-0.3055,-0.052,0.789,0.5304,0.294,0.5473,0.6431,0.4475,43.7882412416,96.7479820176,-4.1283099968
-0.0587,-0.0995,0.9376,0.3276,-0.3068,-0.0512,0.7891,0.5295,0.2962,0.5438,0.6439,0.4493,43.2081924144,96.463303218,-4.2314250624
-0.0641,-0.0993,0.9367,0.3294,-0.3076,-0.065,0.7817,0.5383,0.2957,0.5461,0.6438,0.4468,43.776162888,96.4631432556,-5.15432064
-0.067,-0.0989,0.9359,0.3311,-0.3035,-0.0734,0.7803,0.5418,0.2899,0.5519,0.6436,0.4438,41.9944487116,96.9672345592,-2.8339102694
-0.0675,-0.0989,0.9353,0.333,-0.2951,-0.0841,0.7797,0.5457,0.2772,0.5653,0.6448,0.4332,42.1770729328,96.8749825554,-2.3133797716
-0.0682,-0.0999,0.9348,0.3339,-0.2856,-0.1,0.7757,0.5537,0.2746,0.58,0.6375,0.4261,38.3638481634,97.8548519802,1.8551963092
-0.0655,-0.1017,0.9345,0.3347,-0.2805,-0.1049,0.7745,0.557,0.2719,0.5842,0.635,0.4257,34.58272042,98.1028933088,5.9107009208
-0.0641,-0.1029,0.9343,0.3351,-0.2721,-0.1106,0.7745,0.5601,0.2737,0.583,0.6283,0.4362,35.414696777,97.869241632,6.0019442542
