S10_w,S10_x,S10_y,S10_z,S6_w,S6_x,S6_y,S6_z,middle_pose_position_x,middle_pose_position_y,middle_pose_position_z
-0.5106,0.2166,0.7531,0.3538,-0.3804,0.2977,0.7526,0.4473,3.4990792728,98.7867425046,49.1498948278
-0.5099,0.2199,0.7508,0.3574,-0.3747,0.3192,0.7517,0.4388,4.780983739,99.893492687,46.4680631612
-0.5068,0.2178,0.7512,0.3623,-0.3416,0.39,0.7128,0.4721,5.23813635,101.476016531,41.9323472244
-0.5039,0.2237,0.7477,0.37,-0.3258,0.4038,0.7082,0.4786,6.1295576932,101.627439424,42.6394935788
-0.5039,0.2237,0.7477,0.37,-0.3258,0.4038,0.7082,0.4786,6.7944948008,100.628300402,43.4664518992
-0.5069,0.2222,0.747,0.3681,-0.3397,0.4091,0.7063,0.4671,6.6366598674,100.024125012,43.916516551
-0.5081,0.2195,0.748,0.3661,-0.3453,0.405,0.7078,0.4644,6.9663952952,100.454114168,41.7596392846
-0.5081,0.2195,0.748,0.3661,-0.3453,0.405,0.7078,0.4644,5.5881557228,99.854685768,42.8884974934
-0.5134,0.2121,0.7495,0.3598,-0.3466,0.4066,0.7025,0.47,5.7614659044,99.844803114,42.2349977176
-0.518,0.209,0.7512,0.3515,-0.3428,0.4142,0.6864,0.4895,6.4388707504,100.174698128,42.0135763752
-0.518,0.209,0.7512,0.3515,-0.3428,0.4142,0.6864,0.4895,5.5713766008,99.100223835,45.0654023286
-0.523,0.2082,0.7507,0.3454,-0.4061,0.3533,0.7177,0.4415,4.2424247946,98.6980071162,47.46598026
-0.5214,0.2059,0.752,0.3466,-0.4369,0.2664,0.7658,0.3892,4.632937508,99.03975352,47.8316553024
-0.5214,0.2053,0.7526,0.3454,-0.4296,0.2729,0.7635,0.3973,3.6548094192,98.5457107716,47.0720644212
-0.5244,0.2044,0.7526,0.3414,-0.4305,0.2747,0.7642,0.3937,4.8675440172,97.8903986684,47.4022112308
-0.5244,0.2044,0.7526,0.3414,-0.4305,0.2747,0.7642,0.3937,4.2730236846,98.3020665412,48.939861033
-0.5295,0.2005,0.7539,0.333,-0.4234,0.2837,0.76,0.403,5.1653144392,96.7323425184,48.892489676
-0.5316,0.1995,0.7554,0.3267,-0.4213,0.2918,0.7523,0.4139,4.6586916742,95.4687478332,50.878521897
-0.532,0.2026,0.7545,0.3264,-0.4042,0.3317,0.7209,0.4547,3.8504148682,96.2910560884,51.4005634822
-0.532,0.2026,0.7545,0.3264,-0.4042,0.3317,0.7209,0.4547,4.1249826782,93.0044867876,54.724827837
-0.5302,0.2024,0.7557,0.3266,-0.3931,0.3442,0.7094,0.4729,2.664439742,90.878536893,57.344176139
-0.5286,0.1997,0.757,0.3277,-0.3809,0.3503,0.7015,0.4898,2.3673232632,90.6289321104,56.6402117544
-0.5286,0.1997,0.757,0.3277,-0.3809,0.3503,0.7015,0.4898,1.3812410292,89.3733001752,58.052685078
-0.5288,0.1979,0.7578,0.3267,-0.3779,0.3516,0.6994,0.4942,1.5211970422,89.1684553268,57.7107135462
