S10_w,S10_x,S10_y,S10_z,S6_w,S6_x,S6_y,S6_z,middle_pose_position_x,middle_pose_position_y,middle_pose_position_z
0.0854,0.0886,0.8556,0.5027,0.2948,0.1406,0.506,0.7982,7.164130036,75.6711507304,60.0310205864
0.0854,0.0886,0.8556,0.5027,0.2948,0.1406,0.506,0.7982,7.5127984156,75.2719882826,59.1635883182
0.0875,0.0845,0.8537,0.5061,0.3015,0.145,0.5188,0.7866,7.8227652136,75.0413853992,57.3400776138
0.0855,0.0812,0.852,0.51,0.3024,0.1467,0.5175,0.7868,7.8100248216,75.6201217374,56.3375424546
0.0855,0.0812,0.852,0.51,0.3024,0.1467,0.5175,0.7868,8.4433321836,75.0050675998,56.0776918786
0.0838,0.0802,0.8526,0.5093,0.3024,0.1481,0.5189,0.7856,8.268571376,75.372733392,55.027531072
0.0834,0.0786,0.8541,0.5072,0.2877,0.1399,0.5248,0.7887,8.1786739476,75.56523338,55.1380539332
0.0834,0.0786,0.8541,0.5072,0.2877,0.1399,0.5248,0.7887,7.5300856836,76.002442238,55.1639615432
0.0812,0.0786,0.8556,0.505,0.2869,0.1361,0.5221,0.7915,6.651663618,76.5445255956,57.1749333564
0.0795,0.0823,0.8605,0.4963,0.2884,0.1269,0.5067,0.8024,6.6248529554,76.1749092994,58.4777652694
0.0749,0.0885,0.8702,0.4787,0.2931,0.1001,0.4805,0.8204,4.8883484172,78.0886688192,58.9746794576
0.0711,0.0937,0.8711,0.4767,0.2823,0.0991,0.5456,0.7827,4.1708319632,77.485200328,62.5024873516
0.0697,0.0956,0.8738,0.4715,0.2842,0.1218,0.5974,0.7398,4.1276071396,76.2159148658,63.831339211
0.0697,0.0956,0.8738,0.4715,0.2842,0.1218,0.5974,0.7398,2.6829013854,78.0825761722,63.351197299
