S8_w,S8_x,S8_y,S8_z,S11_w,S11_x,S11_y,S11_z,S4_w,S4_x,S4_y,S4_z,S5_w,S5_x,S5_y,S5_z,S5_4_rel_w,S5_4_rel_x,S5_4_rel_y,S5_4_rel_z,middle_pose_orientation_x,middle_pose_orientation_y,middle_pose_orientation_z
-0.3011,0.1084,0.7651,0.5585,-0.3737,0.3137,0.6936,0.5298,-0.345,0.1923,0.9126,0.1047,-0.3065,0.1505,0.869,0.3578,0.956805438,-0.260576916,0.02832366,-0.12578074,9.887352504,-2.318339369,2.59503432
-0.2875,0.0989,0.7744,0.5547,-0.3649,0.315,0.712,0.5103,-0.3148,0.2153,0.9042,0.1919,-0.31,0.1372,0.8734,0.3495,0.984043545,-0.124875108,0.054280917,-0.114534237,16.58513622,-3.927202333,3.413780757
-0.2842,0.0972,0.7767,0.5535,-0.3621,0.317,0.718,0.5026,-0.311,0.2221,0.8986,0.2153,-0.3136,0.1336,0.8727,0.3494,0.986752129,-0.097989082,0.059235879,-0.114932533,23.61691938,-3.844776713,3.765126325
-0.2758,0.0943,0.7885,0.5413,-0.3574,0.321,0.7374,0.4746,-0.2912,0.2569,0.8779,0.28,-0.3178,0.1255,0.8798,0.33,0.989759385,0.001734568,0.072450402,-0.122980854,28.78640928,-4.642717067,2.916958932
-0.276,0.0919,0.7922,0.5362,-0.3566,0.3218,0.7432,0.4655,-0.2904,0.2714,0.8673,0.2995,-0.3208,0.1227,0.8824,0.3214,0.989759385,0.001734568,0.072450402,-0.122980854,35.97914723,-2.774224552,1.159690602
-0.2686,0.0795,0.7945,0.5386,-0.3558,0.3161,0.7581,0.4455,-0.2794,0.3291,0.8116,0.3935,-0.3229,0.1141,0.887,0.3095,0.969566998,0.172252643,0.071204825,-0.158741097,46.5920463,0.216361828,-0.705296628
-0.2662,0.0761,0.795,0.5396,-0.3535,0.3135,0.763,0.4409,-0.2702,0.3316,0.8029,0.415,-0.3201,0.1099,0.8907,0.3032,0.969566998,0.172252643,0.071204825,-0.158741097,51.90937688,0.603478779,-0.114045006
-0.2716,0.0685,0.7957,0.5368,-0.3546,0.3077,0.7715,0.4291,-0.2727,0.3233,0.807,0.4119,-0.3222,0.1017,0.8943,0.2932,0.963360487,0.208215375,0.069051711,-0.154320419,51.48219535,0.443278217,0.531755727
-0.2741,0.0708,0.7966,0.5339,-0.3541,0.3087,0.7693,0.4328,-0.277,0.3184,0.8162,0.3942,-0.3195,0.1043,0.8953,0.292,0.967818093,0.187484387,0.064652723,-0.15491213,47.74272573,0.003971474,0.302492035
-0.293,0.0896,0.7879,0.5339,-0.366,0.309,0.7479,0.4594,-0.3154,0.2678,0.8646,0.2846,-0.317,0.1164,0.8934,0.2958,0.988056857,0.046706464,0.038398709,-0.141731055,36.37939761,-0.415870858,1.045372422
-0.3049,0.106,0.7757,0.5422,-0.3674,0.3132,0.7314,0.4815,-0.3607,0.2219,0.8845,0.1951,-0.315,0.1295,0.8864,0.3134,0.990186257,-0.03272025,0.018235137,-0.134640417,23.6172024,1.24265106,2.90590263
-0.3077,0.125,0.7668,0.5491,-0.371,0.3133,0.7132,0.5053,-0.3841,0.2026,0.8925,0.1215,-0.3049,0.1449,0.8844,0.322,0.975062433,-0.173839352,-0.019945878,-0.136511145,12.81831327,3.497290114,2.134919623
-0.3146,0.1326,0.7581,0.5556,-0.3732,0.3127,0.6993,0.5232,-0.3914,0.1953,0.8956,0.08,-0.3015,0.1537,0.8814,0.3293,0.96391162,-0.225722028,-0.022944104,-0.139274993,4.681475495,3.137295845,0.12827312
-0.3168,0.148,0.7446,0.5684,-0.3738,0.3115,0.6735,0.5562,-0.3853,0.1792,0.9052,-0.0021,-0.293,0.1726,0.8751,0.3441,0.959810114,-0.248540468,-0.026712884,-0.127587625,-2.070665952,0.734236092,-1.228112909
-0.3214,0.1495,0.7465,0.563,-0.3732,0.3102,0.6625,0.5704,-0.3787,0.1696,0.9089,-0.0388,-0.2902,0.179,0.8726,0.3495,0.919977223,-0.370157038,-0.000470529,-0.128939733,-8.333426086,-1.886982591,-1.769965583
-0.3343,0.1506,0.7536,0.5454,-0.3728,0.3035,0.643,0.5961,-0.3558,0.1447,0.9157,-0.118,-0.2838,0.1868,0.8705,0.3558,0.893930279,-0.431902523,0.017446127,-0.118509488,-14.3049522,-5.076740605,-1.605192442
-0.341,0.1526,0.7561,0.5372,-0.3737,0.2973,0.6287,0.6135,-0.3466,0.1295,0.9151,-0.1597,-0.2817,0.1892,0.869,0.3598,0.869179488,-0.481042698,0.030535438,-0.110419775,-19.20209193,-7.386945185,-1.182659277
-0.3529,0.1533,0.7593,0.5247,-0.3695,0.2942,0.6144,0.6319,-0.3412,0.1106,0.9087,-0.2133,-0.2786,0.1912,0.8694,0.3603,0.829488716,-0.547345739,0.037161693,-0.104786074,-25.25714829,-9.155231031,-0.83064304
-0.3561,0.1548,0.7593,0.522,-0.3665,0.2988,0.611,0.6348,-0.3399,0.1046,0.9076,-0.2229,-0.2783,0.1914,0.8696,0.3598,0.824357107,-0.555530228,0.037626196,-0.102008796,-28.6900422,-10.10727925,-0.531296585
-0.3595,0.1534,0.7575,0.5227,-0.3731,0.294,0.6106,0.6336,-0.3397,0.1063,0.9085,-0.2184,-0.2806,0.1895,0.8691,0.3604,0.82648001,-0.551880606,0.039396317,-0.103954411,-28.37718842,-9.963767088,-0.559291589
-0.3583,0.1457,0.7525,0.5328,-0.3851,0.2856,0.622,0.6189,-0.34,0.1129,0.9138,-0.1907,-0.2866,0.1826,0.8678,0.3623,0.842148247,-0.526400871,0.042577856,-0.108975128,-27.18704621,-9.76897367,-0.424328397
-0.3473,0.14,0.7483,0.5474,-0.3876,0.2855,0.6304,0.6089,-0.3405,0.1221,0.9179,-0.163,-0.2899,0.1777,0.8676,0.3627,0.842148247,-0.526400871,0.042577856,-0.108975128,-20.36508499,-8.350947427,-0.435059756
