S10_w,S10_x,S10_y,S10_z,S8_w,S8_x,S8_y,S8_z,index_pose_position_x,index_pose_position_y,index_pose_position_z
-0.3139,0.1585,0.865,0.3576,-0.2529,0.3661,0.7808,0.4384,38.4605469622,73.7378950214,59.2103988776
-0.3189,0.1602,0.8648,0.3531,-0.2506,0.363,0.7982,0.41,38.233636896,73.3013809036,59.6243634168
-0.3189,0.1602,0.8648,0.3531,-0.2506,0.363,0.7982,0.41,37.9690919682,73.522072239,59.4668180692
-0.3202,0.1602,0.8653,0.3505,-0.249,0.3547,0.8092,0.3965,37.785217752,73.8061635702,59.623967541
-0.322,0.1597,0.8665,0.3461,-0.2423,0.3582,0.8002,0.4152,37.6963223936,72.9960160476,58.3342949108
-0.326,0.1585,0.8673,0.3408,-0.2469,0.3641,0.7861,0.434,37.8832234478,72.585093907,56.6147032
-0.3287,0.1563,0.8687,0.3358,-0.2404,0.3725,0.7749,0.4504,37.4391925568,72.5964109792,57.1460799456
-0.3284,0.1546,0.8695,0.3347,-0.229,0.3762,0.7692,0.4628,37.4161948436,72.7337416834,55.6826558622
-0.3284,0.1546,0.8695,0.3347,-0.229,0.3762,0.7692,0.4628,36.695741241,72.6565824892,55.7004215266
-0.3265,0.1544,0.8709,0.3331,-0.2185,0.3787,0.7656,0.4717,36.486548803,72.6141975916,56.1355238538
-0.3261,0.1549,0.871,0.333,-0.215,0.3803,0.7639,0.4748,36.4004446192,72.299114627,55.8272891604
-0.3261,0.1549,0.871,0.333,-0.215,0.3803,0.7639,0.4748,36.403275399,72.245036689,56.005046594
-0.3266,0.1558,0.8705,0.3333,-0.2126,0.3818,0.7626,0.4767,36.2619563896,72.1787387404,56.0689814426
-0.3266,0.1553,0.8709,0.3325,-0.2189,0.3799,0.766,0.4699,36.197277854,72.6225559176,56.0309990312
-0.3266,0.1553,0.8709,0.3325,-0.2189,0.3799,0.766,0.4699,36.4991645344,73.4534841568,56.0310876
-0.3278,0.1547,0.8711,0.3311,-0.2354,0.3739,0.7762,0.4495,36.8301125888,73.2091311936,56.023691936
-0.3269,0.1558,0.8701,0.3342,-0.2412,0.3729,0.7791,0.4424,37.005416968,72.749464512,56.379886504
-0.3263,0.1566,0.8679,0.34,-0.2489,0.3751,0.7808,0.4329,37.907715258,72.0592542216,57.0005891208
-0.3231,0.1575,0.8676,0.3434,-0.2532,0.3782,0.7833,0.4232,38.0635442468,72.2424611712,56.9072734764
-0.3231,0.1575,0.8676,0.3434,-0.2532,0.3782,0.7833,0.4232,38.3922265464,71.6265624556,57.7469949236
-0.3209,0.1571,0.8679,0.3447,-0.2532,0.3786,0.788,0.4141,38.942047925,72.174411212,57.951222324
-0.3161,0.1585,0.8674,0.3497,-0.2463,0.3862,0.7835,0.4197,38.9123715304,71.9531468588,58.3059044564
-0.3134,0.1595,0.8671,0.3527,-0.2407,0.3908,0.7822,0.4212,39.1637980648,70.9112382644,59.0046935708
-0.3134,0.1595,0.8671,0.3527,-0.2407,0.3908,0.7822,0.4212,39.4590041046,71.2920219906,60.0322928738
-0.3078,0.1622,0.8663,0.3583,-0.2561,0.3898,0.7871,0.4035,39.3997531396,71.4694100624,59.7966996572
-0.3051,0.1634,0.8663,0.3601,-0.2539,0.3903,0.7775,0.4226,39.6234765094,71.5166988676,60.0180849042
-0.3051,0.1634,0.8663,0.3601,-0.2539,0.3903,0.7775,0.4226,39.9844406994,71.9729813022,59.2317079712
-0.3037,0.1635,0.8662,0.3613,-0.2536,0.3914,0.7688,0.4372,39.704574626,71.773914405,59.186924243
-0.3029,0.1619,0.867,0.3609,-0.2587,0.3786,0.7677,0.4475,39.9808320096,72.0192275868,58.8295684048
-0.3032,0.1604,0.8676,0.3599,-0.2583,0.3742,0.7668,0.4529,39.8559057204,72.385035066,58.6428847968
