S10_w,S10_x,S10_y,S10_z,S6_w,S6_x,S6_y,S6_z,middle_pose_position_x,middle_pose_position_y,middle_pose_position_z
-0.5338,0.1143,0.814,0.1979,-0.3256,0.3458,0.7672,0.4308,15.2919945292,95.7986761176,52.0514852324
-0.5328,0.1159,0.8142,0.1992,-0.3246,0.3466,0.7664,0.4325,15.1060399646,95.203815432,52.3488938394
-0.5327,0.1171,0.8137,0.2005,-0.3248,0.3485,0.7639,0.4351,15.108010299,94.5742756848,53.5120733284
-0.533,0.1189,0.8134,0.2001,-0.3303,0.3447,0.7639,0.434,15.3186662068,94.9627854506,53.011310879
-0.535,0.1207,0.8125,0.1972,-0.3561,0.3018,0.7956,0.3859,14.9454946688,94.1305415446,54.881596033
-0.5363,0.1206,0.8117,0.1969,-0.3684,0.2913,0.8007,0.3715,15.2398682056,93.1423291816,56.863952199
-0.536,0.1228,0.812,0.195,-0.386,0.2623,0.8115,0.3516,15.099409703,93.0456005608,56.5516654266
-0.5354,0.1258,0.8114,0.1972,-0.3796,0.2799,0.7962,0.3786,15.112580581,91.4793969828,59.2900879686
-0.5352,0.1261,0.8119,0.1959,-0.3775,0.2919,0.7841,0.3966,14.9157465128,89.6112368176,61.3916380032
-0.5341,0.1273,0.8129,0.1936,-0.3682,0.3112,0.7726,0.4129,14.6375240444,89.4212418452,61.0539643454
-0.533,0.1307,0.8131,0.1937,-0.3583,0.3338,0.757,0.4324,15.2883284476,87.604046538,62.723196699
-0.5325,0.1324,0.8131,0.1937,-0.3588,0.3356,0.7546,0.4348,15.5385650274,85.159218846,63.816620337
-0.5335,0.1362,0.812,0.1934,-0.356,0.3453,0.7414,0.4518,14.8168268656,84.9339514444,63.9464018172
-0.5307,0.1411,0.8118,0.198,-0.3497,0.351,0.7327,0.4664,15.3282026148,82.517395936,64.4177146988
-0.53,0.1409,0.8123,0.1978,-0.3463,0.3529,0.7312,0.4698,14.7329041346,79.6502271208,65.5593581844
-0.5317,0.1392,0.812,0.1961,-0.3468,0.353,0.7296,0.4718,14.3877915658,80.1430780352,64.8552677462
-0.5307,0.1403,0.8122,0.197,-0.3456,0.3544,0.7272,0.4754,13.8415484364,79.993016832,64.0934450804
-0.5303,0.1419,0.8115,0.1998,-0.3429,0.3562,0.7258,0.478,14.1888506206,78.6988389004,65.18324593
-0.5313,0.1408,0.8112,0.1992,-0.3432,0.3563,0.7257,0.478,14.0992315812,79.091287092,65.0329077676
-0.5288,0.1439,0.811,0.2045,-0.338,0.36,0.7191,0.4888,14.3755570324,78.6523568408,64.8799881772
-0.5263,0.1473,0.8108,0.2094,-0.3297,0.3619,0.7171,0.496,14.0229896136,76.4039902564,66.2246392724
-0.5263,0.1483,0.8103,0.2103,-0.3266,0.3643,0.7147,0.4996,13.6080132274,76.995406126,65.7597920338
-0.5268,0.1473,0.8108,0.2077,-0.3294,0.3635,0.7158,0.4968,13.6189580788,76.013227544,66.2298996606
-0.5267,0.1474,0.8109,0.2075,-0.3338,0.3602,0.7179,0.4932,13.7892079908,77.233576412,65.6163345436
-0.526,0.1463,0.8118,0.2065,-0.3362,0.3569,0.7214,0.4887,14.0658439984,77.059868444,65.9667034792
-0.5259,0.1436,0.8131,0.2036,-0.3438,0.3451,0.7382,0.4664,14.4323094432,79.458092562,65.8824535796
-0.5259,0.1436,0.8131,0.2036,-0.3438,0.3451,0.7382,0.4664,15.3818884424,84.1219221768,64.324664032
-0.5269,0.1435,0.8126,0.2031,-0.3487,0.335,0.7491,0.4526,15.9840639246,84.012066063,64.4272225242
-0.5281,0.141,0.8131,0.1997,-0.3678,0.2968,0.7904,0.3896,16.3226874666,87.878449943,61.7165289062
-0.5286,0.1397,0.8128,0.2005,-0.3652,0.2918,0.8045,0.3662,17.0244432564,90.3908907,59.3177641716
-0.5286,0.1397,0.8128,0.2005,-0.3652,0.2918,0.8045,0.3662,17.1912331776,90.14845824,59.8514947968
-0.5249,0.14,0.8151,0.2009,-0.355,0.3226,0.7895,0.3826,17.357688128,91.153761792,58.62718816
-0.5245,0.1405,0.8151,0.2012,-0.351,0.3274,0.7882,0.3849,17.695407064,90.6203061648,59.3296231788
-0.522,0.1455,0.8146,0.2065,-0.3436,0.3254,0.7911,0.3872,17.520004206,90.6365646668,59.2322855224
-0.522,0.1455,0.8146,0.2065,-0.3436,0.3254,0.7911,0.3872,17.485831713,89.0169717664,60.9683112552
-0.5216,0.1474,0.8146,0.2058,-0.3472,0.2971,0.8046,0.3789,16.763590722,86.2320565214,63.8415803998
-0.5196,0.1522,0.8135,0.212,-0.3415,0.3254,0.7686,0.432,16.592030139,86.4054475134,63.1525707234
-0.5196,0.1522,0.8135,0.212,-0.3415,0.3254,0.7686,0.432,16.21957454,83.5764119556,66.3508425196
-0.5195,0.1522,0.8138,0.211,-0.3319,0.3427,0.756,0.4481,15.811577938,82.8936952432,66.2746080124
-0.5209,0.1505,0.8141,0.2077,-0.3341,0.3473,0.7494,0.4538,15.8663468572,82.3544599656,66.0084075268
-0.5217,0.15,0.8138,0.2072,-0.3413,0.3417,0.7515,0.4494,16.022134003,83.4741271646,65.769725349
-0.5217,0.1479,0.8146,0.2053,-0.3527,0.3248,0.7623,0.4344,16.4477669828,85.3274634204,64.2878754412
-0.5225,0.1466,0.8148,0.2037,-0.359,0.3107,0.7762,0.4147,16.429630536,84.978577763,64.3392912354
-0.5225,0.1466,0.8148,0.2037,-0.359,0.3107,0.7762,0.4147,16.393158032,88.255772951,61.5209212282
-0.5234,0.1431,0.8156,0.2006,-0.3608,0.2803,0.8074,0.3729,16.0582832936,90.6917788016,58.543743704
-0.5231,0.1422,0.8161,0.1998,-0.3599,0.2968,0.8054,0.3654,16.3578442304,90.3930333012,59.5758181852
-0.5231,0.1422,0.8161,0.1998,-0.3599,0.2968,0.8054,0.3654,16.4863398648,91.659024206,57.505393546
-0.5217,0.1442,0.8165,0.2001,-0.3579,0.305,0.8038,0.3642,16.7925481808,91.5635809964,57.8045977948
-0.5213,0.1442,0.8168,0.2001,-0.3579,0.3006,0.8078,0.359,16.708084694,91.8359239784,57.6234761188
-0.5199,0.147,0.8168,0.2017,-0.3627,0.282,0.8195,0.3423,16.36373301,91.169141814,58.105777948
-0.5199,0.147,0.8168,0.2017,-0.3627,0.282,0.8195,0.3423,16.1921528408,89.8626100802,59.8674689004
-0.5184,0.1491,0.8175,0.2014,-0.3708,0.2583,0.8294,0.3284,16.1188426512,90.1487266416,58.97523378
-0.5186,0.1533,0.8159,0.2043,-0.3622,0.2903,0.8018,0.3762,15.5785613134,88.6748292962,61.34515551
-0.5169,0.1552,0.8164,0.2053,-0.348,0.3112,0.7868,0.4036,15.1367665816,84.9997296094,65.0043366162
-0.5159,0.1566,0.8166,0.2058,-0.3328,0.3407,0.7587,0.4442,14.5962660032,85.121812736,64.0132563456
-0.5159,0.1566,0.8166,0.2058,-0.3328,0.3407,0.7587,0.4442,14.8449475768,82.89929656,66.0136078384
-0.5177,0.1564,0.8156,0.2053,-0.3364,0.3471,0.7478,0.4549,15.0192687704,81.3171475004,66.3862169956
-0.5179,0.1552,0.8162,0.2033,-0.3388,0.3464,0.7479,0.4536,14.9915676148,81.3693353636,66.1350219464
-0.5179,0.1552,0.8162,0.2033,-0.3388,0.3464,0.7479,0.4536,15.1413503148,82.0410739984,65.2981179564
-0.5214,0.1514,0.8154,0.2006,-0.3483,0.3421,0.7488,0.4481,15.41777882,83.2161906136,64.5424300308
-0.5213,0.1495,0.8158,0.2006,-0.3517,0.3356,0.7539,0.4418,15.717890228,83.1708587424,65.2316444016
-0.521,0.1477,0.8163,0.2006,-0.3697,0.3012,0.7805,0.4039,15.304564872,88.8825049848,61.0681298872
-0.5242,0.1408,0.8168,0.1947,-0.3782,0.277,0.8033,0.3671,15.6855672964,92.3328762096,57.0460892292
-0.5286,0.1294,0.8168,0.1912,-0.3815,0.2725,0.8087,0.3549,16.0933324256,91.633926942,59.0305634508
-0.5259,0.1278,0.8174,0.1971,-0.3554,0.3262,0.7881,0.382,15.618087256,93.522814614,56.633932166
-0.5265,0.1254,0.818,0.1944,-0.3444,0.3438,0.7742,0.4046,15.6203617708,95.5651216964,53.7390703656
-0.5265,0.1254,0.818,0.1944,-0.3444,0.3438,0.7742,0.4046,16.104930628,95.394629864,54.4946167348
-0.5277,0.1207,0.8189,0.1903,-0.3327,0.3524,0.764,0.4256,15.6276359296,95.8016197554,52.635434353
-0.5252,0.1228,0.8195,0.1931,-0.3298,0.3535,0.7651,0.425,16.0121099276,95.7131883456,52.6085110218
-0.5252,0.1228,0.8195,0.1931,-0.3298,0.3535,0.7651,0.425,16.2416308834,95.9841674972,52.4093448966
-0.526,0.124,0.819,0.1923,-0.3323,0.3501,0.7667,0.4231,16.0201712944,95.6873644944,52.2578201768
-0.5247,0.1237,0.8201,0.1911,-0.3353,0.3441,0.7701,0.4194,15.9026792006,95.5732292242,52.713173899
-0.5245,0.1254,0.8199,0.1919,-0.3378,0.3397,0.7723,0.4169,16.0311676872,95.7907934088,52.4110555552
-0.5245,0.1254,0.8199,0.1919,-0.3378,0.3397,0.7723,0.4169,15.7775903224,94.7394931076,53.8505569428
-0.5238,0.1287,0.82,0.1913,-0.3575,0.2968,0.804,0.3709,15.698012786,94.20113372,54.826280624
-0.5247,0.1318,0.8191,0.1903,-0.3799,0.2506,0.833,0.3144,15.6455152832,94.3377572152,54.3629446592
-0.523,0.1362,0.8195,0.1904,-0.3872,0.2315,0.8404,0.3001,15.3398617632,92.861995311,56.906404209
-0.5223,0.1397,0.8198,0.1881,-0.3809,0.2677,0.8149,0.345,14.7092590824,91.718810976,58.2025400856
-0.5223,0.1397,0.8198,0.1881,-0.3809,0.2677,0.8149,0.345,14.41629998,91.7791237432,57.7755098544
-0.521,0.1422,0.8201,0.1885,-0.3656,0.2954,0.7976,0.3779,14.896145602,89.0535126836,61.0884010332
-0.5193,0.1466,0.8201,0.1897,-0.3455,0.3282,0.7713,0.4216,15.0672851668,85.399827928,63.5476988756
-0.5193,0.1466,0.8201,0.1897,-0.3455,0.3282,0.7713,0.4216,14.439302715,85.4911657148,63.1199164092
-0.5172,0.1496,0.8202,0.1929,-0.3412,0.344,0.7506,0.4491,14.7367866644,81.6120416234,65.015853088
-0.5192,0.1527,0.8176,0.1962,-0.3392,0.3538,0.738,0.4636,15.0779505168,79.8540993056,65.2315100724
-0.5177,0.153,0.8182,0.1974,-0.3378,0.3542,0.7365,0.4668,14.822556054,79.9699875,65.069815518
-0.5178,0.1519,0.8186,0.1964,-0.3383,0.3533,0.7377,0.465,14.896645629,79.903255752,65.121366135
-0.5178,0.1519,0.8186,0.1964,-0.3383,0.3533,0.7377,0.465,15.5345574296,81.3480650344,64.9231162688
