S10_w,S10_x,S10_y,S10_z,S6_w,S6_x,S6_y,S6_z,middle_pose_position_x,middle_pose_position_y,middle_pose_position_z
-0.3582,0.253,0.8001,0.4091,-0.0833,0.4025,0.6414,0.6477,6.0290018362,72.340656511,60.2307013796
-0.3651,0.2564,0.8,0.401,-0.0794,0.4107,0.6229,0.661,6.229075459,72.6363215422,61.7551033052
-0.3679,0.2593,0.7998,0.3969,-0.0748,0.4128,0.6104,0.6718,5.195808256,72.3123759364,62.916870634
-0.3737,0.2679,0.7976,0.3901,-0.0748,0.4096,0.5839,0.6968,5.5988565504,72.8646991276,64.2894492684
-0.3769,0.2728,0.7957,0.3876,-0.0726,0.4053,0.5771,0.7051,4.7340428032,71.495909348,67.9921207208
-0.3809,0.2739,0.796,0.3821,-0.0885,0.3923,0.6011,0.6904,3.6119081004,71.0299360372,68.69874459
-0.3914,0.2702,0.7996,0.3664,-0.1307,0.3535,0.6859,0.6223,3.425208778,71.933644764,69.5825065
-0.3933,0.2706,0.7996,0.364,-0.1223,0.3589,0.7142,0.5883,1.171215502,71.6120143976,70.7407181288
-0.3948,0.2692,0.8002,0.362,-0.1175,0.3619,0.7109,0.5913,0.8298941452,70.549850336,71.99024112
-0.399,0.2655,0.8007,0.3591,-0.1159,0.361,0.7117,0.5911,-0.1788248432,70.6624945968,72.4950083712
-0.4019,0.2622,0.8018,0.356,-0.1167,0.3565,0.7149,0.5899,-1.7676221376,70.7447722744,72.6552173704
-0.4035,0.2576,0.8056,0.3489,-0.12,0.3491,0.7082,0.6017,-1.6160596564,69.9880723228,73.1337762032
-0.4035,0.2576,0.8056,0.3489,-0.12,0.3491,0.7082,0.6017,-3.0342772132,70.4894711352,72.4498818364
-0.4062,0.2542,0.8078,0.343,-0.1236,0.3499,0.7028,0.6069,-3.185270192,71.056168302,71.492582398
-0.4077,0.255,0.811,0.333,-0.1257,0.3498,0.7087,0.5995,-2.8379880608,70.6244999214,71.9734110808
-0.4078,0.2561,0.8115,0.3308,-0.1259,0.3502,0.7089,0.5989,-3.1041191486,71.576104472,70.3666414986
-0.4077,0.2559,0.8142,0.3244,-0.1278,0.3479,0.7105,0.5981,-3.236835978,71.307003922,69.8331647756
-0.4077,0.2559,0.8142,0.3244,-0.1278,0.3479,0.7105,0.5981,-3.2041185536,70.8382116982,70.2235802456
-0.4072,0.2535,0.8178,0.3178,-0.1292,0.3439,0.713,0.5971,-4.0760157824,72.0151406038,68.6461726104
-0.408,0.2504,0.8191,0.3159,-0.1308,0.3414,0.713,0.5981,-4.2073409592,71.6828588292,68.6949420468
-0.408,0.2504,0.8191,0.3159,-0.1308,0.3414,0.713,0.5981,-3.5604090866,71.1261440178,69.399618683
-0.4074,0.25,0.8197,0.3153,-0.1317,0.3419,0.7115,0.5995,-3.7682352822,71.2094288798,69.3312684386
-0.4077,0.2516,0.8186,0.3165,-0.1362,0.3466,0.7059,0.6023,-2.7380694014,70.431911001,70.3349236592
-0.4077,0.2516,0.8186,0.3165,-0.1362,0.3466,0.7059,0.6023,-2.9107070004,70.337026701,70.4419834722
-0.4072,0.2563,0.8162,0.3195,-0.1409,0.3538,0.7006,0.6033,-1.4765312774,69.4083356988,71.8819683342
-0.4057,0.2623,0.8118,0.3278,-0.1365,0.3636,0.6962,0.6035,0.2085376848,68.5056242356,73.9400034014
